# Start time 1448929334885
1019,1284.59
2019,4861.86
3019,6722.72
4020,8005.99
5019,10454.45
6019,11590.00
7019,11915.00
8009,10619.19
9010,12430.57
10019,15138.75
11019,14302.00
12010,14305.75
13009,14902.90
14019,13744.55
15019,12352.00
16009,9072.73
17009,7542.00
18019,7685.15
19019,5094.00
20019,4286.00
21019,4623.62
22019,4074.07
23020,1388.61
24019,449.45
25019,482.00
26019,473.00
27020,512.49
28020,402.00
29019,393.39
30019,355.36
31019,335.00
32019,342.00
33020,266.73
34019,261.26
35019,285.00
36019,254.00
37019,258.00
38020,269.73
39019,269.27
40019,268.27
41019,310.00
42019,292.29
43019,300.00
44009,275.76
45020,314.54
46019,332.33
47019,333.33
48019,312.00
49019,328.00
50020,328.67
51019,291.29
52019,328.00
53019,344.00
54019,331.00
55019,352.00
56019,380.00
57019,328.33
58020,342.66
59019,351.35
60020,330.67
# End time 1448929394921
# Peak R/S: 15138.75
# Average R/S: 3646.33
# Total requests: 218804
