# Start time 1448926069607
1016,1344.49
2016,1129.13
3016,2556.00
4016,6542.00
5016,6637.00
6016,7324.32
7016,11171.00
8016,10728.00
9016,11851.00
10015,11315.32
11006,14424.82
12006,13087.00
13006,15571.00
14016,14749.50
15016,15604.00
16006,14362.63
17006,15358.00
18007,11833.17
19006,16243.24
20016,14068.32
21005,14540.95
22006,14460.00
23006,14818.00
24016,15154.46
25006,14855.56
26006,13297.00
27016,12475.25
28016,14600.00
29016,14418.00
30006,15969.70
31006,14887.00
32006,16031.00
33006,15059.00
34006,13903.00
35016,8695.05
36006,15682.83
37006,15768.00
38006,16133.00
39006,15171.00
40006,15760.00
41006,16049.00
42006,15907.91
43006,15772.00
44006,15367.00
45006,15887.00
46006,16042.00
47006,15942.94
48006,16095.00
49006,15944.00
50006,15913.00
51006,16442.00
52006,16079.00
53009,16095.71
54016,16451.84
55006,10904.04
56006,16690.00
57006,16233.00
58006,16280.00
59006,16812.00
60006,16698.00
# End time 1448926129634
# Peak R/S: 16812.00
# Average R/S: 13753.07
# Total requests: 825136
